permutation,seed,vmse
180,303,1.972744473503069
180,404,2.1520472656970715
180,505,2.653349827014639
181,101,2.793447031499733
181,202,2.1811831082420787
181,303,2.481083723639054
181,404,2.76329997907016
181,505,1.8904898370761956
182,101,3.7999004002903476
182,202,3.4182742172616623
182,303,4.374693522317407
182,404,3.032108861725426
182,505,3.9940007706086096
183,101,3.756845309607881
183,202,3.381686133869404
183,303,3.4098685559131514
183,404,2.8069180270067884
183,505,3.140514307390009
184,101,3.972269659003005
184,202,5.072581286928629
184,303,2.888469462593318
184,404,2.821605808171096
184,505,3.8926703604951376
185,101,3.4654710232027304
185,202,4.515990522111249
185,303,3.75757394065995
185,404,3.3122124158304347
185,505,3.402573041716563
186,101,3.3526028618364627
186,202,2.6697743756288808
186,303,2.967521672153967
186,404,2.250489480436919
186,505,3.2429554439822965
187,101,1.5626627019611956
187,202,1.5411234557178344
187,303,1.0758756726489025
187,404,1.2393427164100204
187,505,1.2756272298850233
188,101,4.08617535848819
188,202,3.7620057922766423
188,303,4.202327468404757
188,404,2.794595190151444
188,505,2.685848849263157
189,101,1.2279097777164611
189,202,1.3321961250646863
189,303,1.5555248779740714
189,404,1.327780529493936
189,505,1.4847565872602544
190,101,2.1023083671623395
190,202,1.9369574190251742
190,303,1.8905019960427067
190,404,1.7431219540441467
190,505,1.7745601390087298
191,101,1.7840144736461516
191,202,2.0136209162425294
191,303,3.714231011093968
191,404,2.1262681621756494
191,505,1.7098201685423173
192,101,3.036827042009926
192,202,2.7100343863147853
192,303,3.597290691753643
192,404,2.256109703692173
192,505,2.9957909162821053
193,101,2.8861650464803366
193,202,2.0666488507195435
193,303,2.3814228337755785
193,404,2.19774798869837
193,505,2.4147382728882056
194,101,2.717152256213747
194,202,3.236059415365728
194,303,2.918042867254876
194,404,2.4919190042388513
194,505,3.519615289426867
195,101,1.7949868878463937
195,202,1.8627412745223606
195,303,1.7273127483893804
195,404,1.9609670094442688
195,505,2.0958670199718905
196,101,1.684785743108798
196,202,1.7301289424334452
196,303,1.6181836705004078
196,404,2.123443084852772
196,505,1.4149725842112046
197,101,1.4237960520757125
197,202,1.3437510105441768
197,303,1.5788590308524908
197,404,1.2133064388191237
197,505,1.5176337735107515
198,101,4.078751569463007
198,202,3.794282752419078
198,303,3.2405670666967996
198,404,3.711830246769722
198,505,4.2883398641947945
199,101,5.94768840726108
199,202,6.416770872948737
199,303,7.464247141047306
199,404,3.9661885506987193
199,505,5.598244087739222
200,101,5.171144529930122
200,202,3.9677880149756737
200,303,4.782180735551267
200,404,4.015503508499601
200,505,4.347383253355753
201,101,4.590061878892111
201,202,3.8283053810385885
201,303,5.477506699118702
201,404,3.390170772703052
201,505,3.6964706721878846
202,101,3.587723240205703
202,202,3.4529862934436037
202,303,3.043148183067848
202,404,3.037605407617317
202,505,3.0446007506839003
203,101,2.625466509764429
203,202,2.9821327586953315
203,303,3.598176557828768
203,404,2.462073934283329
203,505,3.1760488538826923
204,101,5.615796023280606
204,202,4.08449413239247
204,303,4.618703917779666
204,404,4.4521019238674215
204,505,5.430342658273512
205,101,1.435954211538399
205,202,1.597784467056531
205,303,1.5383145576317891
205,404,1.9652085256492964
205,505,1.3750058970767571
206,101,3.1513605096094266
206,202,3.163896854737672
206,303,2.74209937804506
206,404,2.7843748161096373
206,505,3.432673757933398
207,101,1.40433819866727
207,202,1.3644909018855804
207,303,1.4774645228261294
207,404,1.1650124699702065
207,505,1.4405338520315856
208,101,5.68404901896012
208,202,4.997603225130653
208,303,3.3468620600231196
208,404,3.2915433511427343
208,505,6.3199325041254415
209,101,2.7122819271865954
209,202,3.2554536215096856
209,303,2.9741809142197693
209,404,2.9881185624239333
209,505,3.689922987477056
210,101,1.7596263872184545
210,202,1.7460051451074412
210,303,1.5452612499049927
210,404,2.0101214853260743
210,505,1.9026574796376476
211,101,5.9416808300923165
211,202,4.674888106625333
211,303,4.760079857656053
211,404,4.045085187957949
211,505,3.9122029925209936
212,101,1.7887403451900934
212,202,2.6484133831441223
212,303,1.8492129225830913
212,404,1.9957261808816347
212,505,2.083988065700987
213,101,4.610288943731016
213,202,4.528926627071119
213,303,6.311567757000053
213,404,4.750831615601332
213,505,4.715536335639982
214,101,2.12441271319457
214,202,2.188123762259981
214,303,1.997898833558025
214,404,1.912983451689037
214,505,2.3839902328073412
215,101,1.40882429445984
215,202,1.5030080999421225
215,303,1.5755356769224387
215,404,1.402943142524113
215,505,1.6949173961451922
216,101,4.231999606513326
216,202,4.064914310331685
216,303,6.651977289089211
216,404,3.4840698300727584
216,505,3.8725684134865515
217,101,3.4813235444237867
217,202,6.123379018452799
217,303,3.872746360758287
217,404,3.663378421637545
