permutation,vmse,vmse_std_across_seeds,n_seeds
439,4.453502102148445,0.8186346694042156,5
440,4.01050629335477,0.6754448664646776,5
441,4.172720998169642,0.4430193407179203,5
442,3.802088859975425,0.7937809951280191,5
443,2.194197145651425,0.9306181829621362,5
444,1.7968703646529107,0.3366028518598597,5
445,2.967757169140583,0.5221916230660024,5
446,1.6106490423397566,0.10893912962547202,5
447,1.9530618480071298,0.2185465630468216,5
448,4.175936288265375,0.8165742574755958,5
449,3.9493520900990533,0.621505446256543,5
450,1.7967458616190286,0.08117738489689168,5
451,4.530687616571563,0.6448903411759813,5
452,1.717604756187662,0.3229722733983738,5
453,2.3383491549053534,0.35240044411714844,5
454,1.9263461831069733,0.22742702910987678,5
455,1.4224388480188648,0.1975261086836638,5
456,2.5431442835385845,0.23038982539157918,5
457,1.5856490332942843,0.12701533931939377,5
458,2.6478845510505664,0.5275819157020426,5
459,5.755852274220315,0.8634685423706218,5
460,2.3419181729555496,0.4530467351303498,5
461,3.3124875186026244,0.3597026640496177,5
462,2.2918721447004953,0.16605773083403413,5
463,2.390103808199631,0.35851763504626855,5
464,3.722971851088135,0.25722920878142047,5
465,4.496562849021935,0.30552894972273403,5
466,1.6628470929707464,0.1852044742085753,5
467,2.2187753780985062,0.0953978209288393,5
468,1.9707745848078417,0.15969807929548158,5
469,2.982927344444907,0.38664858420596177,5
470,2.081156351092775,0.11496663718523617,5
471,1.1567941150664862,0.2070547820166903,5
472,4.2611270998212945,0.5944197252612253,5
473,1.8564319517249277,0.1448116881422221,5
474,0.9643946838089066,0.12586078675143333,5
475,3.5044718902116805,0.3649862331633793,5
476,2.4341305626371357,0.29607276095885665,5
477,2.000787325231937,0.2981472055056435,5
478,4.121911646869593,0.8214221185976872,5
479,2.0555728896662586,0.23961508850620059,5
480,3.972372840235368,0.3534606106884485,5
481,2.110194280940745,0.17630805249865192,5
482,4.927987450585749,0.5491702530697854,5
483,3.478545578307687,0.6376352600772116,5
484,2.6553607133312362,0.3422596485117672,5
485,2.207691653105212,0.32998670828666515,5
486,1.6086664994929145,0.1922706374748377,5
487,1.7927986143683703,0.20499036634723516,5
488,4.283919308244441,0.5155975221729037,5
489,2.21201679955195,0.2786977390976663,5
490,1.843690200101084,0.1270616989130699,5
491,2.9193364285107375,0.49521356055751914,5
492,2.9050687309489582,0.2996803755731559,5
493,3.869790300310425,0.3753487126745492,5
494,3.42346825187001,0.18997568413798255,5
495,3.3207368220346694,0.32309831023574714,5
496,5.317744340217542,1.3257409089416072,5
497,1.7696778981856724,0.14925942808347228,5
498,3.249462509069757,0.2619397237658585,5
499,3.648743066406395,0.2937245226095838,5
500,2.943650908653468,0.2817414325004939,5
501,1.511914563367211,0.1950861704269286,5
502,3.0511802613492423,0.19391183418600255,5
503,4.596318354892022,0.5768753859604715,5
504,2.9808594116351292,0.4021792604701117,5
505,2.6719702175405127,0.1921148980053691,5
506,2.5913066053080653,0.2140435003175639,5
507,2.9708592561785094,0.28383069016226226,5
508,1.9377329877861296,0.29254356403713455,5
509,2.2807383772753997,0.24104381378530332,5
510,2.772324458009943,0.2838865355232012,5
511,3.8787992413528913,0.3216955209700086,5
512,2.976127883545587,0.3094328377757716,5
513,3.298446192411992,0.4614707741319579,5
514,4.034704059710015,0.4889804028470068,5
515,3.0571704927334657,0.4290449236370785,5
516,3.1969287284787495,0.2590941861809315,5
517,3.720562770285047,0.5309911351591832,5
518,2.1293971986143645,0.1108910973189388,5
519,2.980930297789682,0.6596474067065717,5
520,2.9319411425896003,0.22013886269137917,5
521,3.488993586785368,0.49625852624613565,5
522,2.695433628712775,0.08084926418288936,5
523,2.6148179457320473,0.7839698594112956,5
524,3.634552191278698,0.30186743706253705,5
525,4.816997061019936,0.35071731840185755,5
526,2.2654249382762415,0.2225426801413166,5
527,3.016717750648854,0.41598000751202274,5
528,2.0516858366950204,0.1470878660029185,5
529,1.9955930399770243,0.09018861328317938,5
530,2.8446738839931855,0.31039863779423804,5
531,2.8646882365718462,0.4168751436714099,5
532,3.3512098667774937,0.15623314222584814,5
533,3.897045740533958,0.7190711628956037,5
534,2.5698846684469627,0.2335333066133392,5
535,3.217310216687551,0.24734010126177244,5
536,1.4647567738662262,0.14145199392048807,5
537,1.7795072956806812,0.13771544812438416,5
538,2.1150648972707806,0.31902590404290754,5
539,1.669991883301671,0.17803898479129773,5
540,4.384573273772916,1.293311584979608,5
541,1.9510034046200186,0.19300982882643367,5
542,3.1359502028235844,0.17181155423672387,5
543,3.1481762981183143,0.6409397206873472,5
544,2.5327036670953067,0.22115152839355548,5
545,2.531594610941551,0.25695568719053224,5
